player,nation,pos,squad,born,mp,starts,min,gls,ast,pk,pkatt,crdy,crdr,gls_per_90,ast_per_90,g_plus_a_per_90,g_minus_pk_per_90,year,league
José Bosingwa,pt POR,DF,Chelsea,1982,20,13,1262,0,0,0,0,1,0,0,0,0,0,2010,English
Josh McEachran,eng ENG,MF,Chelsea,1993,9,1,180,0,0,0,0,1,0,0,0,0,0,2010,English
Kieran Gibbs,eng ENG,"DF,MF",Arsenal,1989,7,4,348,0,0,0,0,1,0,0,0,0,0,2010,English
Laurent Koscielny,fr FRA,DF,Arsenal,1985,30,30,2617,2,0,0,0,6,2,0.07,0,0.07,0.07,2010,English
Lucas Leiva,br BRA,MF,Liverpool,1987,33,32,2858,0,1,0,0,7,1,0,0.03,0.03,0,2010,English
Luis Suárez,uy URU,FW,Liverpool,1987,13,12,1100,4,3,0,0,2,0,0.33,0.25,0.57,0.33,2010,English
Manuel Almunia,es ESP,GK,Arsenal,1977,8,8,720,0,0,0,0,1,0,0,0,0,0,2010,English
Mario Balotelli,it ITA,FW,Manchester City,1990,17,12,1091,6,0,2,2,6,1,0.49,0,0.49,0.33,2010,English
Marouane Chamakh,ma MAR,FW,Arsenal,1984,29,18,1845,7,3,0,0,5,0,0.34,0.15,0.49,0.34,2010,English
Martin Kelly,eng ENG,"DF,MF",Liverpool,1990,11,10,860,0,1,0,0,1,0,0,0.1,0.1,0,2010,English
Martin Škrtel,sk SVK,DF,Liverpool,1984,38,38,3420,2,0,0,0,8,0,0.05,0,0.05,0.05,2010,English
Maxi Rodríguez,ar ARG,"FW,MF",Liverpool,1981,28,24,2034,10,0,0,0,2,0,0.44,0,0.44,0.44,2010,English
Micah Richards,eng ENG,DF,Manchester City,1988,18,16,1399,1,0,0,0,4,0,0.06,0,0.06,0.06,2010,English
Michael Essien,gh GHA,"DF,MF",Chelsea,1982,33,32,2797,3,2,0,0,5,1,0.1,0.06,0.16,0.1,2010,English
Milan Jovanovi?,rs SRB,"FW,MF",Liverpool,1981,10,5,460,0,0,0,0,1,0,0,0,0,0,2010,English
Nathan Eccleston,eng ENG,FW,Liverpool,1990,1,0,11,0,0,0,0,0,0,0,0,0,0,2010,English
Nicklas Bendtner,dk DEN,FW,Arsenal,1988,17,3,511,2,1,0,0,2,0,0.35,0.18,0.53,0.35,2010,English
Nicolas Anelka,fr FRA,FW,Chelsea,1979,32,27,2356,6,4,0,0,0,0,0.23,0.15,0.38,0.23,2010,English
Nigel de Jong,nl NED,MF,Manchester City,1984,32,30,2610,1,0,0,0,9,0,0.03,0,0.03,0.03,2010,English
Paul Konchesky,eng ENG,"DF,FW",Liverpool,1981,15,15,1246,0,0,0,0,2,0,0,0,0,0,2010,English
Paulo Ferreira,pt POR,DF,Chelsea,1979,21,12,1039,0,0,0,0,2,0,0,0,0,0,2010,English
Pepe Reina,es ESP,GK,Liverpool,1982,38,38,3420,0,0,0,0,4,0,0,0,0,0,2010,English
Petr ?ech,cz CZE,GK,Chelsea,1982,38,38,3420,0,0,0,0,0,0,0,0,0,0,2010,English
Ramires,br BRA,MF,Chelsea,1987,29,22,1933,2,0,0,0,7,0,0.09,0,0.09,0.09,2010,English
Raul Meireles,pt POR,MF,Liverpool,1983,33,32,2523,5,5,0,0,5,0,0.18,0.18,0.36,0.18,2010,English
Robin van Persie,nl NED,FW,Arsenal,1983,25,19,1770,18,8,2,3,4,0,0.92,0.41,1.32,0.81,2010,English
Roque Santa Cruz,py PAR,FW,Manchester City,1981,1,0,25,0,0,0,0,0,0,0,0,0,0,2010,English
Ryan Babel,nl NED,"FW,MF",Liverpool,1986,9,1,203,1,0,0,0,0,0,0.44,0,0.44,0.44,2010,English
Ryan Bertrand,eng ENG,"DF,MF",Chelsea,1989,1,0,35,0,0,0,0,0,0,0,0,0,0,2010,English
Ryan McGivern,nir NIR,DF,Manchester City,1990,1,0,21,0,0,0,0,0,0,0,0,0,0,2010,English
Salomon Kalou,ci CIV,"FW,MF",Chelsea,1985,31,16,1570,10,3,0,0,1,0,0.57,0.17,0.75,0.57,2010,English
Samir Nasri,fr FRA,"FW,MF",Arsenal,1987,30,28,2383,10,2,1,1,4,0,0.38,0.08,0.45,0.34,2010,English
Sébastien Squillaci,fr FRA,DF,Arsenal,1980,22,20,1820,1,0,0,0,1,0,0.05,0,0.05,0.05,2010,English
Sotirios Kyrgiakos,gr GRE,DF,Liverpool,1979,16,10,1083,2,0,0,0,1,0,0.17,0,0.17,0.17,2010,English
Steven Gerrard,eng ENG,MF,Liverpool,1980,21,20,1870,4,5,2,3,2,0,0.19,0.24,0.43,0.1,2010,English
Tomáš Rosický,cz CZE,MF,Arsenal,1980,21,8,938,0,2,0,1,3,0,0,0.19,0.19,0,2010,English
Vincent Kompany,be BEL,DF,Manchester City,1986,37,37,3330,0,1,0,0,6,0,0,0.03,0.03,0,2010,English
Wayne Bridge,eng ENG,DF,Manchester City,1980,3,1,149,0,0,0,0,0,0,0,0,0,0,2010,English
Wojciech Szcz?sny,pl POL,GK,Arsenal,1990,15,15,1350,0,0,0,0,1,0,0,0,0,0,2010,English
Yossi Benayoun,il ISR,MF,Chelsea,1980,7,1,209,1,0,0,0,0,0,0.43,0,0.43,0.43,2010,English
Lukasz Fabianski,pl POL,GK,Arsenal,1985,14,14,1260,0,0,0,0,0,0,0,0,0,0,2010,English
Adriano,br BRA,DF,Monaco,1982,32,32,2737,4,1,0,0,11,1,0.13,0.03,0.16,0.13,2010,French
Albin Ebondo,fr FRA,DF,Saint-Étienne,1984,30,29,2632,1,1,0,0,8,0,0.03,0.03,0.07,0.03,2010,French
Alejandro Alonso,ar ARG,MF,Monaco,1982,4,3,229,0,0,0,0,2,0,0,0,0,0,2010,French
Alejandro Alonso,ar ARG,MF,Saint-Étienne,1982,14,11,873,1,1,1,1,1,0,0.1,0.1,0.21,0,2010,French
Alexandre Lacazette,fr FRA,FW,Lyon,1991,9,0,153,1,0,0,0,0,0,0.59,0,0.59,0.59,2010,French
Aly Cissokho,fr FRA,DF,Lyon,1987,29,29,2507,1,1,0,0,1,2,0.04,0.04,0.07,0.04,2010,French
Anthony Réveillère,fr FRA,DF,Lyon,1979,35,35,3064,0,2,0,0,6,1,0,0.06,0.06,0,2010,French
Apoula Edel,am ARM,GK,Paris S-G,1986,24,23,2127,0,0,0,0,0,0,0,0,0,0,2010,French
Bafétimbi Gomis,fr FRA,FW,Lyon,1985,35,28,2363,10,3,0,0,0,0,0.38,0.11,0.5,0.38,2010,French
Bakary Sako,ml MLI,MF,Saint-Étienne,1988,38,32,2732,7,2,2,2,2,0,0.23,0.07,0.3,0.16,2010,French
Benjamin Moukandjo,cm CMR,"FW,MF",Monaco,1988,16,13,1145,3,1,0,0,1,0,0.24,0.08,0.31,0.24,2010,French
Blaise Matuidi,fr FRA,MF,Saint-Étienne,1987,34,34,3049,0,2,0,0,6,0,0,0.06,0.06,0,2010,French
Boubacar Sanogo,ci CIV,FW,Saint-Étienne,1982,13,1,264,0,0,0,0,0,0,0,0,0,0,2010,French
Carlos Bocanegra,us USA,DF,Saint-Étienne,1979,34,34,3024,2,1,0,0,3,0,0.06,0.03,0.09,0.06,2010,French
Ceará,br BRA,"DF,GK",Paris S-G,1980,20,14,1240,0,0,0,0,1,0,0,0,0,0,2010,French
Cédric Mongongu,cd COD,DF,Monaco,1989,19,14,1232,0,0,0,0,0,0,0,0,0,0,2010,French
César Delgado,ar ARG,"FW,MF",Lyon,1981,19,9,873,1,2,0,0,0,0,0.1,0.21,0.31,0.1,2010,French
Chris Malonga,cg CGO,MF,Monaco,1987,16,9,815,1,1,0,0,1,0,0.11,0.11,0.22,0.11,2010,French
Christophe Jallet,fr FRA,DF,Paris S-G,1983,35,35,3050,1,0,0,0,4,1,0.03,0,0.03,0.03,2010,French
Christophe Landrin,fr FRA,MF,Saint-Étienne,1977,25,11,1089,1,0,0,0,4,0,0.08,0,0.08,0.08,2010,French
Claude Makélélé,fr FRA,MF,Paris S-G,1973,33,33,2872,0,2,0,0,7,0,0,0.06,0.06,0,2010,French
Clément Chantôme,fr FRA,MF,Paris S-G,1987,26,26,2285,2,0,0,0,9,0,0.08,0,0.08,0.08,2010,French
Clément Grenier,fr FRA,MF,Lyon,1991,7,2,248,0,0,0,0,0,0,0,0,0,0,2010,French
Cris,br BRA,DF,Lyon,1977,21,20,1783,1,0,0,0,2,0,0.05,0,0.05,0.05,2010,French
Daniel Niculae,ro ROU,FW,Monaco,1982,17,13,1123,4,1,0,0,2,0,0.32,0.08,0.4,0.32,2010,French
Dejan Lovren,hr CRO,DF,Lyon,1989,28,26,2347,0,0,0,0,7,1,0,0,0,0,2010,French
Dieumerci Mbokani,cd COD,FW,Monaco,1985,10,9,806,1,0,0,0,3,0,0.11,0,0.11,0.11,2010,French
Dimitri Payet,fr FRA,"FW,MF",Saint-Étienne,1987,33,28,2519,13,3,1,2,5,0,0.46,0.11,0.57,0.43,2010,French
Ederson,br BRA,MF,Lyon,1986,8,5,426,2,2,0,1,0,0,0.42,0.42,0.85,0.42,2010,French
Emmanuel Rivière,fr FRA,FW,Saint-Étienne,1990,35,31,2682,8,6,0,0,2,0,0.27,0.2,0.47,0.27,2010,French
Enzo Reale,fr FRA,MF,Lyon,1991,1,0,8,0,0,0,0,0,0,0,0,0,0,2010,French
Faouzi Ghoulam,dz ALG,DF,Saint-Étienne,1991,12,10,906,0,0,0,0,2,0,0,0,0,0,2010,French
Frédéric Bulot,ga GAB,MF,Monaco,1990,8,3,315,0,0,0,0,1,0,0,0,0,0,2010,French
Gonzalo Bergessio,ar ARG,FW,Saint-Étienne,1984,16,5,573,0,0,0,0,0,1,0,0,0,0,2010,French
Grégory Coupet,fr FRA,GK,Paris S-G,1972,15,15,1293,0,0,0,0,0,0,0,0,0,0,2010,French
Grégory Lacombe,fr FRA,MF,Monaco,1982,8,4,343,0,1,0,0,0,0,0,0.26,0.26,0,2010,French
Guillaume Hoarau,fr FRA,FW,Paris S-G,1984,33,31,2629,9,6,1,1,3,1,0.31,0.21,0.51,0.27,2010,French
Guirane N'Daw,sn SEN,"DF,MF",Saint-Étienne,1984,5,2,196,0,1,0,0,0,0,0,0.46,0.46,0,2010,French
Harry Novillo,fr FRA,"FW,MF",Lyon,1992,1,0,8,0,0,0,0,0,0,0,0,0,0,2010,French
Hugo Lloris,fr FRA,GK,Lyon,1986,37,37,3330,0,0,0,0,0,0,0,0,0,0,2010,French
Idriss Saadi,dz ALG,FW,Saint-Étienne,1992,9,0,117,0,0,0,0,0,0,0,0,0,0,2010,French
Igor Lolo,ci CIV,DF,Monaco,1982,17,9,975,1,2,0,0,6,0,0.09,0.18,0.28,0.09,2010,French
Jean Makoun,cm CMR,MF,Lyon,1983,13,11,1021,1,2,0,0,1,0,0.09,0.18,0.26,0.09,2010,French
Jean-Christophe Bahebeck,fr FRA,"FW,MF",Paris S-G,1993,11,1,241,0,0,0,0,0,0,0,0,0,0,2010,French
Jean-Eudes Maurice,ht HAI,"FW,MF",Paris S-G,1986,10,0,159,0,0,0,0,1,0,0,0,0,0,2010,French
Jean-Jacques Gosso,ci CIV,"DF,MF",Monaco,1983,22,18,1493,1,0,0,0,4,0,0.06,0,0.06,0.06,2010,French
Jérémie Janot,fr FRA,GK,Saint-Étienne,1977,36,36,3202,0,0,0,0,0,0,0,0,0,0,2010,French
Jérémy Clément,fr FRA,MF,Paris S-G,1984,24,8,962,0,0,0,0,2,1,0,0,0,0,2010,French
Jérémy Pied,fr FRA,"DF,FW",Lyon,1989,25,7,783,3,2,0,0,5,2,0.34,0.23,0.57,0.34,2010,French
Jessy Moulin,fr FRA,GK,Saint-Étienne,1986,3,2,218,0,0,0,0,0,0,0,0,0,0,2010,French
Jimmy Briand,fr FRA,"FW,MF",Lyon,1985,33,22,2100,6,7,0,0,6,0,0.26,0.3,0.56,0.26,2010,French
Josuha Guilavogui,fr FRA,MF,Saint-Étienne,1990,22,17,1550,1,0,0,0,5,0,0.06,0,0.06,0.06,2010,French
Kévin Malcuit,ma MAR,"DF,FW",Monaco,1991,1,0,21,0,0,0,0,0,0,0,0,0,0,2010,French
Kim Källström,se SWE,MF,Lyon,1982,33,29,2552,3,2,0,0,5,0,0.11,0.07,0.18,0.11,2010,French
Lamine Gassama,sn SEN,DF,Lyon,1989,4,3,283,0,0,0,0,2,0,0,0,0,0,2010,French
Laurent Batlles,fr FRA,MF,Saint-Étienne,1975,32,22,1759,4,3,0,0,4,0,0.2,0.15,0.36,0.2,2010,French
Laurent Bonnart,fr FRA,DF,Monaco,1979,25,24,2117,0,1,0,0,0,0,0,0.04,0.04,0,2010,French
Layvin Kurzawa,fr FRA,DF,Monaco,1992,5,5,369,0,0,0,0,1,1,0,0,0,0,2010,French
Lisandro López,ar ARG,"FW,MF",Lyon,1983,27,24,2076,17,6,2,2,2,0,0.74,0.26,1,0.65,2010,French
Loïc Perrin,fr FRA,"DF,MF",Saint-Étienne,1985,27,27,2348,4,1,0,0,10,0,0.15,0.04,0.19,0.15,2010,French
Loïck Landre,fr FRA,DF,Paris S-G,1992,1,0,59,0,0,0,0,0,0,0,0,0,0,2010,French
Loris Néry,fr FRA,DF,Saint-Étienne,1991,14,10,898,0,0,0,0,2,0,0,0,0,0,2010,French
Ludovic Giuly,fr FRA,"FW,MF",Paris S-G,1976,35,30,2329,4,8,0,0,4,0,0.15,0.31,0.46,0.15,2010,French
Lukman Haruna,ng NGA,MF,Monaco,1990,17,12,1098,0,2,0,0,3,0,0,0.16,0.16,0,2010,French
Mahamadou Diarra,ml MLI,MF,Monaco,1981,9,9,810,0,0,0,0,3,0,0,0,0,0,2010,French
Mamadou Sakho,fr FRA,DF,Paris S-G,1990,35,35,3034,4,0,0,0,5,1,0.12,0,0.12,0.12,2010,French
Mateja Kežman,rs SRB,FW,Paris S-G,1979,1,0,18,0,0,0,0,0,0,0,0,0,0,2010,French
Mathieu Bodmer,fr FRA,"DF,MF",Paris S-G,1982,28,21,1751,5,3,1,1,3,0,0.26,0.15,0.41,0.21,2010,French
Mathieu Coutadeur,fr FRA,MF,Monaco,1986,18,11,965,1,0,0,0,1,1,0.09,0,0.09,0.09,2010,French
Maxime Gonalons,fr FRA,MF,Lyon,1989,23,15,1472,0,1,0,0,3,0,0,0.06,0.06,0,2010,French
Mevlüt Erdinç,tr TUR,FW,Paris S-G,1987,34,29,2325,8,1,0,0,2,0,0.31,0.04,0.35,0.31,2010,French
Michel Bastos,br BRA,"DF,MF",Lyon,1983,28,22,1846,5,4,0,1,3,1,0.24,0.2,0.44,0.24,2010,French
Miralem Pjani?,ba BIH,MF,Lyon,1990,30,16,1452,3,1,0,0,3,0,0.19,0.06,0.25,0.19,2010,French
Moussa Maâzou,ne NIG,FW,Monaco,1988,1,0,22,0,0,0,0,0,0,0,0,0,0,2010,French
Moustapha Bayal Sall,sn SEN,DF,Saint-Étienne,1985,19,19,1703,0,0,0,0,4,0,0,0,0,0,2010,French
Nampalys Mendy,fr FRA,MF,Monaco,1992,14,13,1082,0,0,0,0,3,0,0,0,0,0,2010,French
Neeskens Kebano,cd COD,MF,Paris S-G,1992,3,1,77,0,0,0,0,0,0,0,0,0,0,2010,French
Nenê,br BRA,"FW,MF",Paris S-G,1981,35,35,3078,14,9,1,1,3,0,0.41,0.26,0.67,0.38,2010,French
Nicolas Nkoulou,cm CMR,DF,Monaco,1990,30,26,2493,0,0,0,0,7,0,0,0,0,0,2010,French
Pape Diakhaté,sn SEN,DF,Lyon,1984,24,23,2121,1,0,0,0,9,1,0.04,0,0.04,0.04,2010,French
Park Chu-young,kr KOR,"FW,MF",Monaco,1985,33,32,2842,12,0,4,5,3,0,0.38,0,0.38,0.25,2010,French
Pascal Feindouno,gn GUI,"FW,MF",Monaco,1981,5,2,225,0,0,0,0,0,0,0,0,0,0,2010,French
Péguy Luyindula,fr FRA,"FW,MF",Paris S-G,1979,23,4,635,0,1,0,0,0,0,0,0.14,0.14,0,2010,French
Petter Hansson,se SWE,DF,Monaco,1976,30,28,2579,0,0,0,0,1,0,0,0,0,0,2010,French
Pierre-Emerick Aubameyang,ga GAB,"FW,MF",Saint-Étienne,1989,14,8,776,2,0,0,0,0,0,0.23,0,0.23,0.23,2010,French
Pierre-Emerick Aubameyang,ga GAB,"FW,MF",Monaco,1989,19,17,1437,2,2,0,0,1,0,0.13,0.13,0.25,0.13,2010,French
Sébastien Chabbert,fr FRA,GK,Monaco,1978,6,4,437,0,0,0,0,0,0,0,0,0,0,2010,French
Sébastien Puygrenier,fr FRA,DF,Monaco,1982,31,28,2510,1,1,0,0,7,1,0.04,0.04,0.07,0.04,2010,French
Serge Gakpé,tg TOG,"FW,MF",Monaco,1987,10,2,339,0,1,0,0,1,0,0,0.27,0.27,0,2010,French
Stéphane Ruffier,fr FRA,GK,Monaco,1986,34,34,2983,0,0,0,0,3,0,0,0,0,0,2010,French
Stéphane Sessègnon,bj BEN,"FW,MF",Paris S-G,1984,14,4,567,0,2,0,0,0,0,0,0.32,0.32,0,2010,French
Sylvain Armand,fr FRA,DF,Paris S-G,1980,33,31,2803,2,1,0,0,5,0,0.06,0.03,0.1,0.06,2010,French
Sylvain Marchal,fr FRA,DF,Saint-Étienne,1980,19,19,1634,0,0,0,0,4,1,0,0,0,0,2010,French
Sylvain Monsoreau,fr FRA,DF,Saint-Étienne,1981,31,30,2686,0,0,0,0,1,0,0,0,0,0,2010,French
Thomas Mangani,fr FRA,MF,Monaco,1987,24,20,1708,1,0,0,0,6,0,0.05,0,0.05,0.05,2010,French
Timothée Kolodziejczak,fr FRA,DF,Lyon,1991,8,7,675,0,0,0,0,0,0,0,0,0,0,2010,French
Tripy Makonda,fr FRA,DF,Paris S-G,1990,4,1,122,0,0,0,0,1,0,0,0,0,0,2010,French
Valère Germain,fr FRA,FW,Monaco,1990,2,0,52,0,0,0,0,0,0,0,0,0,0,2010,French
Vincent Muratori,fr FRA,DF,Monaco,1987,17,14,1285,0,2,0,0,4,0,0,0.14,0.14,0,2010,French
Yannick Sagbo,ci CIV,FW,Monaco,1988,1,0,4,0,0,0,0,0,0,0,0,0,0,2010,French
Yoann Andreu,fr FRA,DF,Saint-Étienne,1989,1,0,7,0,0,0,0,0,0,0,0,0,0,2010,French
Yoann Gourcuff,fr FRA,MF,Lyon,1986,24,20,1632,3,4,0,0,1,0,0.17,0.22,0.39,0.17,2010,French
Yohan Benalouane,tn TUN,DF,Saint-Étienne,1987,1,0,76,0,0,0,0,0,0,0,0,0,0,2010,French
Yoric Ravet,fr FRA,"FW,MF",Saint-Étienne,1989,2,0,39,0,0,0,0,0,0,0,0,0,0,2010,French
Zoumana Camara,fr FRA,"DF,GK",Paris S-G,1979,17,14,1379,2,1,0,0,1,0,0.13,0.07,0.2,0.13,2010,French
David Alaba,at AUT,"DF,MF",Hoffenheim,1992,17,17,1530,2,1,0,0,3,0,0.12,0.06,0.18,0.12,2010,German
David Alaba,at AUT,"DF,MF",Bayern Munich,1992,2,0,24,0,0,0,0,0,0,0,0,0,0,2010,German
Hamit Alt?ntop,tr TUR,"DF,MF",Bayern Munich,1982,14,8,731,2,3,0,0,1,0,0.25,0.37,0.62,0.25,2010,German
Demba Ba,sn SEN,FW,Hoffenheim,1985,17,15,1274,6,1,0,0,0,0,0.42,0.07,0.49,0.42,2010,German
Ryan Babel,nl NED,"FW,MF",Hoffenheim,1986,15,15,1292,1,0,0,0,3,0,0.07,0,0.07,0.07,2010,German
Holger Badstuber,de GER,DF,Bayern Munich,1989,23,21,1845,0,0,0,0,5,0,0,0,0,0,2010,German
Lucas Barrios,py PAR,FW,Dortmund,1984,32,29,2468,16,2,0,1,3,0,0.58,0.07,0.66,0.58,2010,German
Andrea Barzagli,it ITA,DF,Wolfsburg,1981,17,17,1485,0,0,0,0,4,0,0,0,0,0,2010,German
Andreas Beck,de GER,"DF,MF",Hoffenheim,1987,33,33,2958,0,4,0,0,7,0,0,0.12,0.12,0,2010,German
Diego Benaglio,ch SUI,GK,Wolfsburg,1983,28,28,2497,0,0,0,0,3,0,0,0,0,0,2010,German
Sven Bender,de GER,"DF,MF",Dortmund,1989,31,29,2439,1,2,0,0,2,0,0.04,0.07,0.11,0.04,2010,German
Mark van Bommel,nl NED,MF,Bayern Munich,1977,13,12,1089,0,1,0,0,2,0,0,0.08,0.08,0,2010,German
Breno Borges,br BRA,DF,Bayern Munich,1989,13,7,737,0,0,0,0,0,1,0,0,0,0,2010,German
Edson Braafheid,nl NED,DF,Hoffenheim,1983,10,9,782,0,0,0,0,2,1,0,0,0,0,2010,German
Edson Braafheid,nl NED,DF,Bayern Munich,1983,3,2,139,0,0,0,0,0,0,0,0,0,0,2010,German
Hans-Jörg Butt,de GER,GK,Bayern Munich,1974,23,22,2025,0,0,0,0,0,0,0,0,0,0,2010,German
Jakub B?aszczykowski,pl POL,MF,Dortmund,1985,29,15,1530,3,2,0,0,0,0,0.18,0.12,0.29,0.18,2010,German
Tolga Ci?erci,tr TUR,MF,Wolfsburg,1992,6,5,433,0,0,0,0,0,0,0,0,0,0,2010,German
